PX,Main,"Midblock Route","Side 1 Route","Side 2 Route","Activation Date",Latitude,Longitude,"Count Date",8HrVehVol,8HrPedVol
296,"BATHURST ST",,"QUEEN ST W",,15-Jun-1928,43.6471973,-79.403991,2015/04/11,14741,19595
297,"BATHURST ST",,"FRONT ST W",,27-Oct-1950,43.640732,-79.401378,2015/04/11,13833,2556
298,"BATHURST ST",,"RICHMOND ST W",,10-Mar-1961,43.646453,-79.403717,2015/08/18,11748,3918
300,"COLLEGE ST",,"BATHURST ST",,31-Jan-1928,43.656469,-79.407705,2015/04/11,14329,8776
303,"BATHURST ST",,"HARBORD ST",,09-Mar-1929,43.6615152,-79.409748,2015/04/18,15337,3012
305,"BATHURST ST",,"DUPONT ST",,06-Mar-1939,43.67314,-79.414344,2015/04/11,20173,1975
306,"BATHURST ST",,"NINA ST",,10-May-1949,43.6798123,-79.41699,2015/04/01,17065,840
307,"BATHURST ST",,"LONSDALE RD","CLAXTON BLVD",01-Jan-1955,43.687185,-79.419939,2015/04/07,17157,508
308,"BATHURST ST",,"BURTON RD","STRATHEARN RD",03-Apr-1960,43.6919174,-79.421873,2015/04/01,19676,345
310,"BATHURST ST",,"BRIAR HILL AVE",,01-Jan-1967,43.7079008,-79.427022,2015/04/01,20567,572
311,"BATHURST ST",,"VIEWMOUNT AVE",,09-Jun-1962,43.710496,-79.427686,2015/03/31,18617,924
312,"BATHURST ST",,"GLENCAIRN AVE",,10-Jan-1956,43.7123271,-79.428131,2015/04/11,15498,1482
313,"BATHURST ST",,"SHELBOURNE AVE",,22-Oct-1962,43.7159806,-79.428973,2015/03/31,19333,1139
314,"BATHURST ST",,"SARANAC BLVD",,18-Sep-1961,43.7230833,-79.430627,2015/03/31,17368,687
316,"BATHURST ST",,"RANEE AVE",,08-Apr-1970,43.7269581,-79.431513,2015/04/11,12621,666
317,"BATHURST ST",,"NEPTUNE DR",,31-Jan-1958,43.731534,-79.432603,2015/02/26,18391,991
320,"BATHURST ST",,"WILSON AVE",,14-Sep-1956,43.7373609,-79.434006,2015/03/28,25136,6296
321,"BLOOR ST W",,"BATHURST ST",,07-Apr-1928,43.665132,-79.411205,2015/04/11,15756,20464
327,"DUNDAS ST W",,"BLOOR ST W",,07-Mar-1928,43.6563079,-79.452406,2015/04/11,19755,5303
342,"DANFORTH AVE",,"CHESTER AVE",,06-Jan-1976,43.6775446,-79.351941,2015/05/12,10312,4132
343,"DANFORTH AVE",,"LOGAN AVE",,14-Jul-1928,43.6779704,-79.349668,2015/05/12,11526,6884
345,"DANFORTH AVE",,"PAPE AVE",,13-Jul-1928,43.6789035,-79.344862,2015/05/12,16303,13100
346,"DANFORTH AVE",,"JONES AVE",,19-Mar-1945,43.6798433,-79.340118,2015/05/12,13163,2832
347,"DANFORTH AVE",,"DONLANDS AVE",,19-Aug-1953,43.6804049,-79.33727,2015/05/07,13674,4429
348,"DANFORTH AVE",,"GREENWOOD AVE",,07-Dec-1928,43.6814824,-79.33234,2015/05/07,15446,3536
349,"DANFORTH AVE",,"COXWELL AVE",,07-Nov-1928,43.6833979,-79.323565,2015/05/07,19534,7267
351,"DANFORTH AVE",,"WOODBINE AVE",,07-Oct-1928,43.6856712,-79.312749,2015/04/25,21642,10131
352,"DANFORTH AVE",,"GLEDHILL AVE","PATRICIA DR",27-Jan-1953,43.6866856,-79.308555,2015/05/07,12852,1663
353,"MAIN ST",,"DANFORTH AVE",,07-May-1928,43.6881587,-79.301805,2015/05/09,15646,7102
355,"DANFORTH AVE",,"VICTORIA PARK AVE",,31-Jan-1958,43.6912366,-79.288311,2015/05/09,21459,5470
357,"DANFORTH AVE",,"DANFORTH RD",,03-Jan-1965,43.6936851,-79.277105,2015/05/09,10767,144
358,"DANFORTH AVE",,"WARDEN AVE",,01-Jan-1957,43.6943678,-79.273638,2015/05/06,16187,488
359,"DANFORTH AVE",,"BIRCHMOUNT RD",,31-Jan-1958,43.6969868,-79.26399,2015/05/09,10152,230
365,"GERRARD ST E",,"WOODBINE AVE",,01-Mar-1948,43.6808578,-79.31078,2015/04/25,19841,1784
373,"GERRARD ST E",,"LOGAN AVE",,05-May-1952,43.6670975,-79.345175,2015/07/30,9363,2688
375,"DANFORTH RD",,"KENNEDY RD",,02-Nov-1964,43.7147913,-79.260862,2015/04/23,11783,124
376,"DANFORTH RD",,"MACK AVE",,02-Mar-1965,43.7001729,-79.27272,2015/06/08,8898,164
378,"DANFORTH RD",,"BRIMLEY RD",,20-Sep-1960,43.7351797,-79.247409,2015/07/22,16913,265
380,"LAWRENCE AVE E",,"MCCOWAN RD",,11-Feb-1960,43.7555379,-79.245446,2015/05/02,28053,2239
384,"BATHURST ST",,"DAVENPORT RD",,28-Aug-1929,43.6766969,-79.415765,2015/04/11,20361,657
391,"OLD WESTON RD",,"DAVENPORT RD",,06-Dec-1959,43.6710913,-79.462297,2015/04/23,8478,144
392,"ST CLAIR AVE E",,"DANFORTH RD",,24-Oct-1961,43.7168627,-79.259873,2015/04/28,20947,371
394,"ROGERS RD",,"KEELE ST",,31-Jan-1958,43.6821633,-79.471576,2015/04/22,14539,2874
409,"LAWRENCE AVE E",,"WARDEN AVE",,31-Jan-1958,43.7453776,-79.29475,2015/05/06,36985,2352
410,"LAWRENCE AVE E",,"BIRCHMOUNT RD",,03-Feb-1969,43.7475,-79.28482,2015/07/29,30952,1165
417,"DANFORTH RD",,"BIRCHMOUNT RD",,16-Jul-1969,43.70704,-79.26811,2015/04/30,15487,960
418,"DANFORTH RD",,"WARDEN AVE",,31-Jan-1958,43.69726,-79.27481,2015/05/06,15485,385
423,"BATHURST ST",,"LAWRENCE AVE W",,09-Jun-1956,43.71929,-79.42976,2015/04/11,22429,3429
426,"DUFFERIN ST",,"LAWRENCE AVE W",,31-Jan-1958,43.71407,-79.4547,2015/09/17,30202,4568
446,"O CONNOR DR",,"WOODBINE AVE",,31-Jan-1958,43.70015,-79.31905,2015/04/25,31011,406
456,"EGLINTON AVE E",,"WARDEN AVE",,17-Nov-1955,43.72787,-79.28761,2015/05/06,35905,1947
477,"DANFORTH AVE",,"PLAYTER BLVD",,22-Dec-1976,43.67692,-79.35508,2015/05/12,9921,3294
480,"ST CLAIR AVE W",,"BATHURST ST",,27-Aug-1928,43.68314,-79.41828,2015/04/11,22508,7838
483,"DUNDAS ST W",,"CHESTNUT ST",,31-Dec-1964,43.65524,-79.38599,2015/04/13,10171,17916
