stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
496,12139,THE QUEENSWAY AT MORGAN AVE,,43.626433,-79.501778,,,,,1
497,6920,THE QUEENSWAY AT STEPHEN DR,,43.6305,-79.483964,,,,,2
498,6923,THE QUEENSWAY AT WINDERMERE AVE WEST SIDE,,43.637292,-79.470393,,,,,1
500,6011,RATHBURN RD AT LLOYD MANOR RD,,43.659178,-79.546344,,,,,1
501,10880,REDPATH AVE AT BROADWAY AVE,,43.710483,-79.393722,,,,,2
502,11109,REDPATH AVE AT BROADWAY AVE,,43.710705,-79.393961,,,,,1
503,10878,REDPATH AVE AT EGLINTON AVE EAST NORTH SIDE,,43.708177,-79.392858,,,,,1
504,11123,REDPATH AVE AT EGLINTON AVE EAST,,43.708101,-79.392946,,,,,1
505,11122,REDPATH AVE AT ERSKINE AVE SOUTH SIDE,,43.711545,-79.39431,,,,,1
506,10881,REDPATH AVE AT ERSKINE AVE,,43.711914,-79.394291,,,,,2
507,10879,REDPATH AVE AT ROEHAMPTON AVE,,43.708968,-79.393142,,,,,2
508,11110,REDPATH AVE AT ROEHAMPTON AVE,,43.70918,-79.393352,,,,,2
510,8069,RENFORTH DR AT EGLINTON AVE WEST,,43.666088,-79.587268,,,,,1
511,8068,RENFORTH DR AT EGLINTON AVE WEST,,43.665741,-79.586296,,,,,1
512,11628,MICHAEL POWER / ST JOSEPH H.S.,,43.659497,-79.582992,,,,,1
513,11627,MICHAEL POWER / ST JOSEPH H.S.,,43.659312,-79.582914,,,,,1
514,11346,RICHMOND ST EAST AT JARVIS ST WEST SIDE,,43.652795,-79.374011,,,,,1
515,11319,RICHMOND ST EAST AT SHERBOURNE ST WEST SIDE,,43.653374,-79.369571,,,,,1
520,6031,ROGERS RD AT KEELE ST,,43.682206,-79.471323,,,,,1
522,6991,ROYAL YORK RD AT DIXON RD,,43.699605,-79.533988,,,,,2
523,12175,ROYAL YORK RD AT EGLINTON AVE WEST SOUTH SIDE,,43.681697,-79.526473,,,,,2
526,8082,SENTINEL RD AT FINCH AVE WEST,,43.761209,-79.500212,,,,,1
527,4498,SENTINEL RD AT THE POND RD,,43.769829,-79.502291,,,,,1
